step,train_loss,val_loss,flops,tokens
0,10.9903,10.9938,0.0,0
1000,4.7443,4.7514,1.6751e+18,393216000
2000,3.7477,3.7458,3.3502e+18,786432000
3000,3.4363,3.4316,5.0253e+18,1179648000
4000,3.2572,3.2874,6.7004e+18,1572864000
5000,3.1779,3.2007,8.3755e+18,1966080000
6000,3.1267,3.1353,1.0051e+19,2359296000
7000,3.0723,3.0908,1.1726e+19,2752512000
8000,3.0502,3.054,1.3401e+19,3145728000
9000,3.004,3.0268,1.5076e+19,3538944000
10000,3.0035,3.0036,1.6751e+19,3932160000
11000,2.9704,2.9816,1.8426e+19,4325376000
12000,2.9473,2.9635,2.0101e+19,4718592000
13000,2.9517,2.9497,2.1776e+19,5111808000
14000,2.9314,2.9367,2.3451e+19,5505024000
15000,2.9198,2.9246,2.5127e+19,5898240000
16000,2.8851,2.9137,2.6802e+19,6291456000
17000,2.8981,2.9042,2.8477e+19,6684672000
18000,2.8873,2.894,3.0152e+19,7077888000
19000,2.8747,2.8847,3.1827e+19,7471104000
20000,2.867,2.8769,3.3502e+19,7864320000
21000,2.845,2.8698,3.5177e+19,8257536000
22000,2.8408,2.8624,3.6852e+19,8650752000
23000,2.8446,2.856,3.8527e+19,9043968000
